,f_c,root_depth,ET_p,ET_0,Kcb,ET_a,K_s,K_e,avg_h_c
91,0.6637276706323977,0.5015657161945815,6.127199999999999,5.106,1.0699999999999998,6.127199999999999,1.0,0.13000000000000012,-1.0872171447676477
92,0.6437276706323977,0.5015657161945815,5.8236,4.853,1.0566666666666666,5.8236,1.0,0.1433333333333333,-1.1157665944071737
93,0.6237276706323976,0.5015657161945815,5.92557627869716,4.966,1.0433333333333332,5.92557627869716,1.0,0.14989588106400045,-1.1596012790109473
94,0.6037276706323976,0.5015657161945815,5.841600000000001,4.868,1.03,5.841600000000001,1.0,0.16999999999999993,-1.081649775892384
95,0.5837276706323976,0.5015657161945815,5.5164,4.597,1.0166666666666666,5.5164,1.0,0.18333333333333335,-1.1118758193706528
96,0.5637276706323976,0.5015657161945815,5.902799999999999,4.919,1.0033333333333332,5.902799999999999,1.0,0.19666666666666677,-1.0562406148364132
97,0.5437276706323976,0.5015657161945815,5.9244,4.937,0.99,5.9244,1.0,0.20999999999999996,-1.0452838505490067
98,0.5237276706323976,0.5015657161945815,6.023999999999999,5.02,0.9766666666666666,6.023999999999999,1.0,0.22333333333333338,-0.9857023697586996
99,0.5037276706323975,0.5015657161945815,6.1632,5.136,0.9633333333333333,6.1632,1.0,0.2366666666666667,-1.035012984800838
100,0.4837276706323975,0.5015657161945815,6.068266286877049,5.164,0.95,6.068266286877049,1.0,0.22510966051066025,-1.1031229079062772
101,0.4637276706323975,0.5015657161945815,6.1739999999999995,5.145,0.9366666666666666,6.1739999999999995,1.0,0.2633333333333333,-0.9737036412133794
102,0.4437276706323975,0.5015657161945815,5.58664815505905,4.656,0.9233333333333333,5.58664815505905,1.0,0.2765481432686964,-1.0378246511678373
103,0.42372767063239747,0.5015657161945815,5.830825591098966,4.989,0.9099999999999999,5.830825591098966,1.0,0.25873633816375363,-1.1064813666499722
104,0.40372767063239745,0.5015657161945815,5.92099525994172,4.977,0.8966666666666666,5.92099525994172,1.0,0.293004874410633,-1.0875159657179194
105,0.38372767063239743,0.5015657161945815,5.337141884422375,4.613,0.8833333333333333,5.293895971969124,0.9893870286712487,0.27364518052367404,-1.1673849461504615
106,0.3637276706323974,0.5015657161945815,5.784,4.82,0.8699999999999999,5.784,1.0,0.33000000000000007,-1.0878689066620943
107,0.3437276706323974,0.5015657161945815,6.024841634448224,5.067,0.8566666666666667,6.024841634448224,1.0,0.3323685878129513,-1.124663127667734
108,0.3237276706323974,0.5015657161945815,6.050239636850269,5.385,0.8433333333333333,5.685591136711911,0.9197048234251142,0.28020234667600175,-1.2614665251135824
109,0.30372767063239736,0.5015657161945815,5.796,4.83,0.83,5.796,1.0,0.37,-1.1208334919137288
110,0.28372767063239734,0.5015657161945815,5.473199999999999,4.561,0.8166666666666667,5.473199999999999,1.0,0.3833333333333333,-1.133745122585776
111,0.2637276706323973,0.5015657161945815,5.50439994778983,4.671,0.8033333333333332,5.50439994778983,1.0,0.3750866940247977,-1.1590015386111074
112,0.2437276706323973,0.5015657161945815,6.275488703916133,5.388,0.79,6.1906778674969525,0.9800750762549735,0.3747157950846571,-1.1808132085206775
113,0.2237276706323973,0.5015657161945815,5.6735999999999995,4.728,0.7766666666666666,5.6735999999999995,1.0,0.42333333333333334,-1.126105909052034
114,0.20372767063239727,0.5015657161945815,4.754291004163091,3.984,0.7633333333333333,4.754291004163091,1.0,0.4300128022497717,-1.1357985300923892
115,0.18372767063239726,0.5015657161945815,5.599200000000001,4.666,0.75,5.599200000000001,1.0,0.44999999999999996,-1.077172303280495
116,0.0,0.5015657161945815,5.274931168646832,4.805,0.0,5.274931168646832,1.0,1.0978004513312867,-1.1401439040048067
