train/learning_rate,train/critic_loss,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,time/total_timesteps,train/n_updates,time/fps,time/episodes
0.0003,2.7496039867401123,288.0,1884,121.67100233,-25.847732543945312,457920,457819,243,1590
0.0003,4.030191421508789,288.0,1896,120.59124229999998,-25.236366271972656,460800,460699,243,1600
0.0003,0.660710871219635,288.0,1907,120.83441943,-26.659875869750977,463680,463579,243,1610
0.0003,2.6258840560913086,288.0,1919,120.84501592000001,-25.212629318237305,466560,466459,243,1620
0.0003,3.1139962673187256,288.0,1931,120.46596725,-23.621021270751953,469440,469339,243,1630
0.0003,1.471344232559204,288.0,1942,120.09791665,-23.035808563232422,472320,472219,243,1640
0.0003,2.0036206245422363,288.0,1953,119.37270244999998,-25.32328224182129,475200,475099,243,1650
0.0003,0.8999258279800415,288.0,1965,117.96211249000002,-24.16644287109375,478080,477979,243,1660
0.0003,5.3420796394348145,288.0,1977,117.62758184999998,-24.857765197753906,480960,480859,243,1670
0.0003,0.6255911588668823,288.0,1988,118.16273229999999,-26.610218048095703,483840,483739,243,1680
0.0003,3.410916805267334,288.0,2000,118.42583627000002,-25.715110778808594,486720,486619,243,1690
0.0003,3.0747084617614746,288.0,2011,118.92463226,-25.765972137451172,489600,489499,243,1700
0.0003,2.8707427978515625,288.0,2023,116.92141365999998,-24.40146827697754,492480,492379,243,1710
0.0003,3.6073317527770996,288.0,2034,116.79420591,-26.6822509765625,495360,495259,243,1720
0.0003,2.6650891304016113,288.0,2046,118.04616293999999,-24.615558624267578,498240,498139,243,1730
0.0003,0.38348913192749023,288.0,2057,118.69080167,-25.324909210205078,501120,501019,243,1740
0.0003,0.535216212272644,288.0,2069,119.55507303999998,-26.7984676361084,504000,503899,243,1750
0.0003,3.6750783920288086,288.0,2080,121.64674243999998,-25.299760818481445,506880,506779,243,1760
0.0003,2.5206403732299805,288.0,2092,120.6327379,-25.94026756286621,509760,509659,243,1770
0.0003,0.4638040363788605,288.0,2103,120.58611934000002,-25.712631225585938,512640,512539,243,1780
