,mean_rewards,std_rewards,values_q_net,values_target_net
637,-0.73944384,0.7889127,0,0
638,0.06345871,0.49202743,0,0
639,0.08302857,0.639412,0,0
640,0.554309,0.48756444,0,0
641,0.28689107,0.42494237,0,0
642,0.07127349,0.50355375,0,0
643,0.6408908,0.5791585,0,0
644,0.60022837,0.6159548,0,0
645,0.099545605,0.40377852,0,0
646,0.4615875,0.4058782,0,0
647,0.3633999,0.20808668,0,0
648,-0.10075475,0.4436758,0,0
649,-0.08466578,0.47025847,0,0
650,0.3829732,0.5370497,0,0
651,0.5085764,0.45822114,0,0
652,0.28566235,0.7417656,0,0
653,0.6431505,0.59821516,0,0
654,-0.1339791,0.43146923,0,0
655,0.3715977,0.5537432,0,0
656,0.095433585,0.41421142,0,0
657,0.29903924,0.57295054,0,0
658,0.6286792,0.50167197,0,0
659,0.39028397,0.4646408,0,0
660,0.32180893,0.27689195,0,0
